2025_bitnet-distillation.pdf	arXiv:2510.13998	Xun Wu Shaohan Huang Wenhui Wang Ting Song Li Dong Yan Xia Furu Wei
2025_bitrom-weight-reload-free-ciROM-1.58bit-llm.pdf	arXiv:2509.08542	BitROM: Weight Reload-Free CiROM Architecture Towards Billion-Parameter 1.58-bit LLM Inference
2025_btc-llm-sub-1bit-learnable-transform-binary-codebook.pdf	arXiv:2506.12040	BTC-LLM: Efficient Sub-1-Bit LLM Quantization via Learnable Transformation and Binary Codebook
2025_challenging-gpu-dominance-cpu-on-device-llm.pdf	arXiv:2505.06461	CHALLENGING GPU DOMINANCE: WHEN CPUS OUTPERFORM FOR ON-DEVICE LLM INFERENCE
2025_compression-scaling-laws-sparsity-quantization.pdf	arXiv:2502.16440	Compression Scaling Laws: Unifying Sparsity and Quantization
2025_extra-rmsnorm-finetuning-to-1.58-bits.pdf		An Extra RMSNorm is All You Need for Fine Tuning to 1.58 Bits
2025_hbllm-wavelet-1bit-quantization-llm.pdf	arXiv:2512.00862	HBLLM: Wavelet-Enhanced High-Fidelity 1-Bit Quantization for LLMs
2025_iFairy-2bit-complex-llm-pm1-pmi.pdf	arXiv:2508.05571	iFairy: the First 2-bit Complex LLM with All Parameters in {±1, ±i}
2025_improving-ste-with-zeroth-order-information.pdf	arXiv:2510.23926	Improving the Straight-Through Estimator with Zeroth-Order Information
2025_lota-qaf-lossless-ternary-adaptation-qaf.pdf	arXiv:2505.18724	LoTA-QAF: Lossless Ternary Adaptation for Quantization-Aware Fine-Tuning
2025_low-precision-training-llms-survey-tpami.pdf	arXiv:2505.01043	Low-Precision Training of Large Language Models: Methods, Challenges, and Opportunities
2025_multi-boolean-architectures-efficient-llms.pdf	arXiv:2505.22811	HIGHLY EFFICIENT AND EFFECTIVE LLMS WITH MULTI-BOOLEAN ARCHITECTURES
2025_pim-llm-hybrid-pim-architecture-1bit-llms.pdf	arXiv:2504.01994	PIM-LLM: A High-Throughput Hybrid PIM Architecture for 1-bit LLMs
2025_progressive-binarization-semi-structured-pruning-llm.pdf	arXiv:2502.01705	3HUSOH[LW\LQlog10VFDOH
2025_ptq1.61-real-limit-extreme-low-bit-ptq.pdf	arXiv:2502.13179	PTQ1.61: Push the Real Limit of Extremely Low-Bit Post-Training Quantization Methods for Large Language Models
2025_resource-efficient-language-models-quantization.pdf	arXiv:2505.08620	Resource-Efficient Language Models: Quantization for Fast and Accessible Inference
2025_sdq-llm-sigma-delta-quantization-1bit-llms.pdf	arXiv:2510.03275	SDQ-LLM: Sigma-Delta Quantization for 1-bit LLMs of any size
2025_tenet-sparsity-aware-lut-ternary-llm-edge.pdf	arXiv:2509.13765	TENET: An Efficient Sparsity-Aware LUT-Centric
2025_ternarization-of-vision-language-models-edge.pdf	arXiv:2504.06298	Ternarization of Vision Language Models for use on edge devices
2025_towards-one-bit-asr-conformer-quantization.pdf	arXiv:2505.21245	Towards One-bit ASR: Extremely Low-bit Conformer Quantization Using Co-training and Stochastic Precision
2025_ultra-quantisation-embedding-search-1.58bit.pdf	arXiv:2506.00528	Ultra-Quantisation: Efficient Embedding Search via 1.58-bit Encodings
2026_1bit-wonder-kmeans-quantization-lowbit-qat.pdf	arXiv:2602.15563	1-Bit Wonder: Improving QAT Performance in the Low-Bit Regime through K-Means Quantization
2026_BWLA-w1ax-post-training-quantization-llm.pdf	arXiv:2605.00422	BWLA: Breaking the Barrier of W1AX Post-Training Quantization for LLMs
2026_EdgeRazor-mixed-precision-qad-lightweight-llm.pdf	arXiv:2605.04062	EDGERAZOR: A Lightweight Framework for Large Language Models via Mixed-Precision Quantization-Aware Distillation
2026_HARP-hadamard-preconditioned-rotation-llm-quant.pdf	arXiv:2605.29843	HARP: Hadamard-Preconditioned Adaptive Rotation Processor for Extreme LLM Quantization
2026_Huang_Sherry-1.25bit-ternary-fine-grained-sparsification.pdf	arXiv:2601.07892	Sherry: Hardware-Efficient 1.25-Bit Ternary Quantization via Fine-grained Sparsification
2026_LC-QAT-data-efficient-2bit-qat-vector-quant.pdf	arXiv:2606.10531	LC-QAT: Data-Efficient 2-Bit QAT for LLMs via Linear-Constrained Vector Quantization
2026_Li_bitnet-text-embeddings.pdf	arXiv:2606.25674	BitNet Text Embeddings
2026_Litespark-simd-ternary-1.58bit-cpu.pdf	arXiv:2605.06485	Litespark Inference For CPUs: Ultra-Fast SIMD Framework for Ternary (1.58-bit)
2026_NativeTernary-self-delimiting-binary-encoding-ternary-weights.pdf	arXiv:2604.03336	NativeTernary: A Self-Delimiting Binary Encoding with
2026_RSR-core-lowbit-matrix-vector-engine.pdf	arXiv:2603.27462	RSR-core: A High-Performance Engine for Low-Bit Matrix-Vector Multiplication
2026_Song_LBLLM-lightweight-binarization-3stage-distillation.pdf	arXiv:2604.19167	LBLLM: Lightweight Binarization of Large Language Models via Three-Stage Distillation
2026_TOM-ternary-rom-accelerator-llm-edge.pdf	arXiv:2602.20662	TOM: A Ternary Read-only Memory Accelerator
